ISO_alpha3,cow_id,cow_name,cow_startdate,cow_enddate
USA,2,United States of America,1816-01-01,2016-12-31
CAN,20,Canada,1920-01-10,2016-12-31
BHM,31,Bahamas,1973-07-10,2016-12-31
CUB,40,Cuba,1909-01-23,2016-12-31
HAI,41,Haiti,1934-08-15,2016-12-31
DOM,42,Dominican Republic,1924-09-29,2016-12-31
JAM,51,Jamaica,1962-08-06,2016-12-31
TRI,52,Trinidad and Tobago,1962-08-31,2016-12-31
BAR,53,Barbados,1966-11-30,2016-12-31
DMA,54,Dominica,1978-11-03,2016-12-31
GRN,55,Grenada,1974-02-07,2016-12-31
SLU,56,St. Lucia,1979-02-22,2016-12-31
SVG,57,St. Vincent and the Grenadines,1979-10-27,2016-12-31
AAB,58,Antigua & Barbuda,1981-11-01,2016-12-31
SKN,60,St. Kitts and Nevis,1983-09-19,2016-12-31
MEX,70,Mexico,1831-01-01,2016-12-31
BLZ,80,Belize,1981-09-21,2016-12-31
GUA,90,Guatemala,1868-01-01,2016-12-31
HON,91,Honduras,1899-01-01,2016-12-31
SAL,92,El Salvador,1875-01-01,2016-12-31
NIC,93,Nicaragua,1900-01-01,2016-12-31
COS,94,Costa Rica,1920-01-01,2016-12-31
PAN,95,Panama,1903-11-03,2016-12-31
COL,100,Colombia,1831-01-01,2016-12-31
VEN,101,Venezuela,1841-01-01,2016-12-31
GUY,110,Guyana,1966-05-26,2016-12-31
SUR,115,Suriname,1975-11-25,2016-12-31
ECU,130,Ecuador,1854-01-01,2016-12-31
PER,135,Peru,1839-01-01,2016-12-31
BRA,140,Brazil,1822-09-07,2016-12-31
BOL,145,Bolivia,1848-01-01,2016-12-31
PAR,150,Paraguay,1876-06-22,2016-12-31
CHL,155,Chile,1839-01-01,2016-12-31
ARG,160,Argentina,1841-01-01,2016-12-31
URU,165,Uruguay,1882-01-01,2016-12-31
UKG,200,United Kingdom,1816-01-01,2016-12-31
IRE,205,Ireland,1922-12-06,2016-12-31
NTH,210,Netherlands,1945-06-26,2016-12-31
BEL,211,Belgium,1945-06-26,2016-12-31
LUX,212,Luxembourg,1944-09-10,2016-12-31
FRN,220,France,1944-08-25,2016-12-31
MNC,221,Monaco,1993-05-28,2016-12-31
LIE,223,Liechtenstein,1990-09-18,2016-12-31
SWZ,225,Switzerland,1816-01-01,2016-12-31
SPN,230,Spain,1816-01-01,2016-12-31
AND,232,Andorra,1993-07-28,2016-12-31
POR,235,Portugal,1816-01-01,2016-12-31
GMY,255,Germany,1990-10-03,2016-12-31
GFR,260,German Federal Republic,1955-05-05,1990-10-02
GDR,265,German Democratic Republic,1954-03-25,1990-10-02
POL,290,Poland,1945-06-28,2016-12-31
AUS,305,Austria,1955-07-27,2016-12-31
HUN,310,Hungary,1918-11-16,2016-12-31
CZE,315,Czechoslovakia,1945-05-10,1992-12-31
CZR,316,Czech Republic,1993-01-01,2016-12-31
SLO,317,Slovakia,1993-01-01,2016-12-31
ITA,325,Italy,1816-01-01,2016-12-31
SNM,331,San Marino,1992-03-02,2016-12-31
MLT,338,Malta,1964-09-21,2016-12-31
ALB,339,Albania,1944-11-17,2016-12-31
MNG,341,Montenegro,2006-06-12,2016-12-31
MAC,343,Macedonia,1993-04-08,2016-12-31
CRO,344,Croatia,1992-01-15,2016-12-31
YUG,345,Yugoslavia,1944-10-20,2016-12-31
BOS,346,Bosnia and Herzegovina,1992-04-07,2016-12-31
KOS,347,Kosovo,2008-02-20,2016-12-31
SLV,349,Slovenia,1992-01-15,2016-12-31
GRC,350,Greece,1944-10-13,2016-12-31
CYP,352,Cyprus,1960-08-16,2016-12-31
BUL,355,Bulgaria,1908-10-05,2016-12-31
MLD,359,Moldova,1991-12-26,2016-12-31
ROM,360,Romania,1878-07-13,2016-12-31
RUS,365,Russia,1816-01-01,2016-12-31
EST,366,Estonia,1991-09-06,2016-12-31
LAT,367,Latvia,1991-09-06,2016-12-31
LIT,368,Lithuania,1991-09-06,2016-12-31
UKR,369,Ukraine,1991-12-26,2016-12-31
BLR,370,Belarus,1991-12-26,2016-12-31
ARM,371,Armenia,1991-12-26,2016-12-31
GRG,372,Georgia,1991-12-26,2016-12-31
AZE,373,Azerbaijan,1991-12-26,2016-12-31
FIN,375,Finland,1917-12-06,2016-12-31
SWD,380,Sweden,1816-01-01,2016-12-31
NOR,385,Norway,1945-05-07,2016-12-31
DEN,390,Denmark,1945-05-07,2016-12-31
ICE,395,Iceland,1944-06-17,2016-12-31
CAP,402,Cape Verde,1975-07-05,2016-12-31
STP,403,Sao Tome and Principe,1975-07-12,2016-12-31
GNB,404,Guinea-Bissau,1974-09-10,2016-12-31
EQG,411,Equatorial Guinea,1968-10-12,2016-12-31
GAM,420,Gambia,1965-02-18,2016-12-31
MLI,432,Mali,1960-06-20,2016-12-31
SEN,433,Senegal,1960-08-20,2016-12-31
BEN,434,Benin,1960-08-01,2016-12-31
MAA,435,Mauritania,1960-11-28,2016-12-31
NIR,436,Niger,1960-10-03,2016-12-31
CDI,437,Ivory Coast,1960-08-07,2016-12-31
GUI,438,Guinea,1958-10-02,2016-12-31
BFO,439,Burkina Faso,1960-08-05,2016-12-31
LBR,450,Liberia,1920-06-30,2016-12-31
SIE,451,Sierra Leone,1961-04-27,2016-12-31
GHA,452,Ghana,1957-03-06,2016-12-31
TOG,461,Togo,1960-04-27,2016-12-31
CAO,471,Cameroon,1960-01-01,2016-12-31
