disno,dyindex,statea,namea,stateb,nameb,strtday,strtmnth,strtyr,year,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,war,durindx,cumdurat,duration,disno4,mid3hiact,mid3hia,mid3hib,ongo2010,new,change,changetype_1,changetype_2
2,2.001,2,USA,200,UKG,1,7,1902,1902,24,1,1903,0,0,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,1,1,1,1,3,0,1,184,184,-9,7,7,0,0,0,0,0,
2,2.001,2,USA,200,UKG,1,7,1902,1903,24,1,1903,6,1,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,1,1,1,1,3,0,2,209,25,-9,7,7,0,0,0,0,0,
2,2.001,200,UKG,2,USA,1,7,1902,1902,24,1,1903,0,0,0,7,3,0,1,1,0,1,1,0,1,1,1,1,1,1,0,7,3,1,3,1,0,1,184,184,-9,7,0,7,0,0,0,0,
2,2.001,200,UKG,2,USA,1,7,1902,1903,24,1,1903,6,1,0,7,3,0,1,1,0,1,1,0,1,1,1,1,1,1,0,7,3,1,3,1,0,2,209,25,-9,7,0,7,0,0,0,0,
3,3.001,300,AUH,345,YUG,2,5,1913,1913,25,10,1913,4,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,1,1,1,1,3,0,1,177,177,-9,8,8,0,0,0,0,0,
3,3.001,345,YUG,300,AUH,2,5,1913,1913,25,10,1913,3,3,0,10,3,0,1,1,0,0,0,0,1,1,1,1,1,2,0,10,3,1,3,1,0,1,177,177,-9,8,0,8,0,0,0,0,
4,4.001,200,UKG,339,ALB,15,5,1946,1946,13,11,1946,5,3,2,19,4,0,1,1,0,0,0,2,8,3,1,1,0,0,0,19,4,1,3,1,0,1,183,183,-9,16,7,16,0,0,0,0,
4,4.001,339,ALB,200,UKG,15,5,1946,1946,13,11,1946,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,8,3,1,1,3,0,1,183,183,-9,16,16,7,0,0,0,0,
7,7.001,200,UKG,651,EGY,13,10,1951,1951,26,1,1952,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,2,0,18,4,1,1,3,0,1,80,80,-9,17,17,17,0,0,0,0,
7,7.001,200,UKG,651,EGY,13,10,1951,1952,26,1,1952,1,3,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,2,2,18,4,1,1,3,0,2,107,27,-9,17,17,17,0,0,0,0,
