PolityID,PolityName,PolityType,StateAbbr
0,League of Nations,International Organization,
1,United Nations,International Organization,
2,United States of America,State,USA
20,Canada,State,CAN
31,Bahamas,State,BHM
40,Cuba,State,CUB
41,Haiti,State,HAI
42,Dominican Republic,State,DOM
51,Jamaica,State,JAM
52,Trinidad and Tobago,State,TRI
53,Barbados,State,BAR
54,Dominica,State,DMA
55,Grenada,State,GRN
56,St. Lucia,State,SLU
57,St. Vincent and the Grenadines,State,SVG
58,Antigua & Barbuda,State,AAB
60,St. Kitts and Nevis,State,SKN
70,Mexico,State,MEX
80,Belize,State,BLZ
90,Guatemala,State,GUA
91,Honduras,State,HON
92,El Salvador,State,SAL
93,Nicaragua,State,NIC
94,Costa Rica,State,COS
95,Panama,State,PAN
100,Colombia,State,COL
101,Venezuela,State,VEN
110,Guyana,State,GUY
115,Suriname,State,SUR
130,Ecuador,State,ECU
135,Peru,State,PER
140,Brazil,State,BRA
145,Bolivia,State,BOL
150,Paraguay,State,PAR
155,Chile,State,CHL
160,Argentina,State,ARG
165,Uruguay,State,URU
200,United Kingdom,State,UKG
205,Ireland,State,IRE
210,Netherlands,State,NTH
211,Belgium,State,BEL
212,Luxembourg,State,LUX
220,France,State,FRN
221,Monaco,State,MNC
223,Liechtenstein,State,LIE
225,Switzerland,State,SWZ
230,Spain,State,SPN
232,Andorra,State,AND
235,Portugal,State,POR
240,Hanover,State,HAN
245,Bavaria,State,BAV
255,Germany,State,GMY
260,German Federal Republic,State,GFR
265,German Democratic Republic,State,GDR
267,Baden,State,BAD
269,Saxony,State,SAX
271,Wuerttemburg,State,WRT
273,Hesse Electoral,State,HSE
275,Hesse Grand Ducal,State,HSG
280,Mecklenburg Schwerin,State,MEC
290,Poland,State,POL
300,Austria-Hungary,State,AUH
305,Austria,State,AUS
310,Hungary,State,HUN
315,Czechoslovakia,State,CZE
316,Czech Republic,State,CZR
317,Slovakia,State,SLO
325,Italy,State,ITA
327,Papal States,State,PAP
329,Two Sicilies,State,SIC
331,San Marino,State,SNM
332,Modena,State,MOD
335,Parma,State,PMA
337,Tuscany,State,TUS
338,Malta,State,MLT
339,Albania,State,ALB
341,Montenegro,State,MNG
343,Macedonia,State,MAC
344,Croatia,State,CRO
345,Yugoslavia,State,YUG
346,Bosnia and Herzegovina,State,BOS
347,Kosovo,State,KOS
349,Slovenia,State,SLV
350,Greece,State,GRC
352,Cyprus,State,CYP
355,Bulgaria,State,BUL
359,Moldova,State,MLD
360,Romania,State,ROM
365,Russia,State,RUS
366,Estonia,State,EST
367,Latvia,State,LAT
368,Lithuania,State,LIT
369,Ukraine,State,UKR
370,Belarus,State,BLR
371,Armenia,State,ARM
372,Georgia,State,GRG
373,Azerbaijan,State,AZE
375,Finland,State,FIN
380,Sweden,State,SWD
385,Norway,State,NOR
390,Denmark,State,DEN
395,Iceland,State,ICE
402,Cape Verde,State,CAP
403,Sao Tome and Principe,State,STP
404,Guinea-Bissau,State,GNB
411,Equatorial Guinea,State,EQG
420,Gambia,State,GAM
432,Mali,State,MLI
433,Senegal,State,SEN
434,Benin,State,BEN
435,Mauritania,State,MAA
436,Niger,State,NIR
437,Ivory Coast,State,CDI
438,Guinea,State,GUI
439,Burkina Faso,State,BFO
450,Liberia,State,LBR
451,Sierra Leone,State,SIE
452,Ghana,State,GHA
461,Togo,State,TOG
471,Cameroon,State,CAO
475,Nigeria,State,NIG
481,Gabon,State,GAB
482,Central African Republic,State,CEN
483,Chad,State,CHA
484,Congo,State,CON
490,Democratic Republic of the Congo,State,DRC
500,Uganda,State,UGA
501,Kenya,State,KEN
510,Tanzania,State,TAZ
511,Zanzibar,State,ZAN
516,Burundi,State,BUI
517,Rwanda,State,RWA
520,Somalia,State,SOM
522,Djibouti,State,DJI
530,Ethiopia,State,ETH
531,Eritrea,State,ERI
540,Angola,State,ANG
541,Mozambique,State,MZM
551,Zambia,State,ZAM
552,Zimbabwe,State,ZIM
553,Malawi,State,MAW
560,South Africa,State,SAF
565,Namibia,State,NAM
570,Lesotho,State,LES
571,Botswana,State,BOT
572,Swaziland,State,SWA
580,Madagascar,State,MAG
581,Comoros,State,COM
590,Mauritius,State,MAS
591,Seychelles,State,SEY
600,Morocco,State,MOR
615,Algeria,State,ALG
616,Tunisia,State,TUN
620,Libya,State,LIB
625,Sudan,State,SUD
626,South Sudan,State,SSD
630,Iran,State,IRN
640,Turkey,State,TUR
645,Iraq,State,IRQ
651,Egypt,State,EGY
652,Syria,State,SYR
660,Lebanon,State,LEB
663,Jordan,State,JOR
666,Israel,State,ISR
670,Saudi Arabia,State,SAU
678,Yemen Arab Republic,State,YAR
679,Yemen,State,YEM
680,Yemen People's Republic,State,YPR
690,Kuwait,State,KUW
692,Bahrain,State,BAH
694,Qatar,State,QAT
696,United Arab Emirates,State,UAE
698,Oman,State,OMA
700,Afghanistan,State,AFG
701,Turkmenistan,State,TKM
702,Tajikistan,State,TAJ
703,Kyrgyzstan,State,KYR
704,Uzbekistan,State,UZB
705,Kazakhstan,State,KZK
710,China,State,CHN
712,Mongolia,State,MON
713,Taiwan,State,TAW
730,Korea,State,KOR
731,North Korea,State,PRK
732,South Korea,State,ROK
740,Japan,State,JPN
750,India,State,IND
760,Bhutan,State,BHU
770,Pakistan,State,PAK
771,Bangladesh,State,BNG
775,Myanmar,State,MYA
780,Sri Lanka,State,SRI
781,Maldives,State,MAD
790,Nepal,State,NEP
800,Thailand,State,THI
811,Cambodia,State,CAM
812,Laos,State,LAO
816,Vietnam,State,DRV
817,Republic of Vietnam,State,RVN
820,Malaysia,State,MAL
830,Singapore,State,SIN
835,Brunei,State,BRU
840,Philippines,State,PHI
850,Indonesia,State,INS
860,East Timor,State,ETM
900,Australia,State,AUL
910,Papua New Guinea,State,PNG
920,New Zealand,State,NEW
935,Vanuatu,State,VAN
940,Solomon Islands,State,SOL
946,Kiribati,State,KIR
947,Tuvalu,State,TUV
950,Fiji,State,FIJ
955,Tonga,State,TON
970,Nauru,State,NAU
