country,year,cow_id,cow_warCount,cow_IsInitiator,cow_TimeAtWar,cow_IsSameRegion,cow_type_ExtraState,cow_type_InterState,cow_type_IntraState,cow_type_NonState,cow_status_compromised,cow_status_contConflict,cow_status_lost,cow_status_ongoing,cow_status_stalemate,cow_status_transWarType,cow_status_won
Afghanistan,1946,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1947,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1948,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1949,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1950,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1951,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1952,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1953,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1954,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1955,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1956,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1957,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1958,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1959,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1960,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1961,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1962,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1963,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1964,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1965,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1966,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1967,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1968,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1969,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1970,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1971,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1972,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1973,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1974,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1975,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1976,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1977,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1978,700,2,0,0,2,0,0,2,0,0,0,1,1,0,0,0
Afghanistan,1979,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1980,700,2,0,1,2,1,0,1,0,0,0,0,1,0,1,0
Afghanistan,1981,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1982,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1983,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1984,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1985,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1986,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1987,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1988,700,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,1989,700,2,0,1,2,1,0,1,0,0,0,0,1,0,1,0
Afghanistan,1990,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1991,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1992,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1993,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1994,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1995,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1996,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1997,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1998,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,1999,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,2000,700,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Afghanistan,2001,700,3,1,1,3,1,1,1,0,0,0,0,1,0,2,0
Afghanistan,2002,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,2003,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,2004,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,2005,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,2006,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,2007,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Afghanistan,2008,700,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Albania,1946,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1947,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1948,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1949,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1950,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1951,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1952,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1953,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1954,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1955,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1956,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1957,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1958,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1959,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1960,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1961,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1962,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1963,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1964,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1965,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1966,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1967,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1968,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1969,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1970,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1971,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1972,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1973,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1974,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1975,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1976,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1977,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1978,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1979,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1980,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1981,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1982,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1983,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1984,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1985,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1986,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1987,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1988,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1989,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1990,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1991,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1992,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1993,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1994,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1995,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1996,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1997,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1998,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1999,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2000,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2001,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2002,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2003,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2004,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2005,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2006,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2007,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2008,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1962,615,2,1,0,2,1,0,1,0,0,0,0,1,0,0,1
Algeria,1963,615,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Algeria,1964,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1965,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1966,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1967,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1968,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1969,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1970,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1971,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1972,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1973,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1974,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1975,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1976,615,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Algeria,1977,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1978,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1979,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1980,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1981,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1982,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1983,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1984,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1985,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1986,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1987,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1988,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1989,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1990,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1991,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1992,615,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1993,615,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1994,615,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1995,615,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1996,615,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1997,615,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1998,615,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Algeria,1999,615,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Algeria,2000,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2001,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2002,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2003,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
