ccode,year,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,interim,change,d4,sf,regtrans
2,1946,,10,0,10,10.0,137.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1947,,10,0,10,10.0,138.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1948,,10,0,10,10.0,139.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1949,,10,0,10,10.0,140.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1950,,10,0,10,10.0,141.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1951,,10,0,10,10.0,142.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1952,,10,0,10,10.0,143.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1953,,10,0,10,10.0,144.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1954,,10,0,10,10.0,145.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1955,,10,0,10,10.0,146.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1956,,10,0,10,10.0,147.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1957,,10,0,10,10.0,148.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1958,,10,0,10,10.0,149.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1959,,10,0,10,10.0,150.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1960,,10,0,10,10.0,151.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1961,,10,0,10,10.0,152.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1962,,10,0,10,10.0,153.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1963,,10,0,10,10.0,154.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1964,,10,0,10,10.0,155.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1965,,10,0,10,10.0,156.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1966,,10,0,10,10.0,157.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1967,,8,0,8,8.0,158.0,3,3,4,7,2,3,8.0,7,7.0,,-2.0,1.0,,0.0
2,1968,,8,0,8,8.0,159.0,3,3,4,7,2,3,8.0,7,7.0,,,,,
2,1969,,8,0,8,8.0,160.0,3,3,4,7,2,3,8.0,7,7.0,,,,,
2,1970,,8,0,8,8.0,161.0,3,3,4,7,2,3,8.0,7,7.0,,,,,
2,1971,,8,0,8,8.0,162.0,3,3,4,7,2,3,8.0,7,7.0,,,,,
2,1972,,8,0,8,8.0,163.0,3,3,4,7,2,3,8.0,7,7.0,,,,,
2,1973,,8,0,8,8.0,164.0,3,3,4,7,2,3,8.0,7,7.0,,,,,
2,1974,,10,0,10,10.0,165.0,3,3,4,7,5,5,8.0,7,10.0,,2.0,1.0,,0.0
2,1975,,10,0,10,10.0,166.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1976,,10,0,10,10.0,167.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1977,,10,0,10,10.0,168.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1978,,10,0,10,10.0,169.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1979,,10,0,10,10.0,170.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1980,,10,0,10,10.0,171.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1981,,10,0,10,10.0,172.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1982,,10,0,10,10.0,173.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1983,,10,0,10,10.0,174.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1984,,10,0,10,10.0,175.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1985,,10,0,10,10.0,176.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1986,,10,0,10,10.0,177.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1987,,10,0,10,10.0,178.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1988,,10,0,10,10.0,179.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1989,,10,0,10,10.0,180.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1990,,10,0,10,10.0,181.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1991,,10,0,10,10.0,182.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1992,,10,0,10,10.0,183.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
2,1993,,10,0,10,10.0,184.0,3,3,4,7,5,5,8.0,7,10.0,,,,,
