country,year,gw_id,ucdp_conflictCount,ucdp_intensity_War,ucdp_intensity_Minor,ucdp_incompatibility_isTerritory,ucdp_incompatibility_isGovernment,ucdp_type_Extrasystemic,ucdp_type_Internal,ucdp_type_InternationalizedInternal,ucdp_type_Interstate,ucdp_role_primary,ucdp_role_secondary
Afghanistan,1946,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1947,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1948,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1949,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1950,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1951,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1952,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1953,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1954,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1955,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1956,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1957,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1958,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1959,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1960,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1961,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1962,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1963,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1964,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1965,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1966,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1967,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1968,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1969,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1970,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1971,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1972,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1973,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1974,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1975,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1976,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1977,700,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1978,700,1,1,0,0,1,0,1,0,0,1,0
Afghanistan,1979,700,2,1,1,0,2,0,1,0,1,2,0
Afghanistan,1980,700,1,1,0,0,1,0,1,0,0,1,0
