gw_id,abbr,gw_name,gw_startdate,gw_enddate
2,USA,United States of America,1816-01-01,2017-12-31
20,CAN,Canada,1867-07-01,2017-12-31
31,BHM,Bahamas,1973-07-10,2017-12-31
40,CUB,Cuba,1902-05-20,2017-12-31
41,HAI,Haiti,1934-08-15,2017-12-31
42,DOM,Dominican Republic,1844-02-27,2017-12-31
51,JAM,Jamaica,1962-08-06,2017-12-31
52,TRI,Trinidad and Tobago,1962-08-31,2017-12-31
53,BAR,Barbados,1966-11-30,2017-12-31
70,MEX,Mexico,1821-07-01,2017-12-31
80,BLZ,Belize,1981-09-21,2017-12-31
90,GUA,Guatemala,1840-01-01,2017-12-31
91,HON,Honduras,1840-01-01,2017-12-31
92,SAL,El Salvador,1840-01-01,2017-12-31
93,NIC,Nicaragua,1840-01-01,2017-12-31
94,COS,Costa Rica,1840-01-01,2017-12-31
95,PAN,Panama,1903-11-03,2017-12-31
100,COL,Colombia,1830-09-23,2017-12-31
101,VEN,Venezuela,1829-01-01,2017-12-31
110,GUY,Guyana,1966-05-26,2017-12-31
115,SUR,Surinam,1975-11-25,2017-12-31
130,ECU,Ecuador,1830-05-13,2017-12-31
135,PER,Peru,1824-12-09,2017-12-31
140,BRA,Brazil,1822-09-07,2017-12-31
145,BOL,Bolivia,1825-08-06,2017-12-31
150,PAR,Paraguay,1816-01-01,2017-12-31
155,CHL,Chile,1818-04-01,2017-12-31
160,ARG,Argentina,1816-07-09,2017-12-31
165,URU,Uruguay,1830-05-26,2017-12-31
200,UKG,United Kingdom,1816-01-01,2017-12-31
205,IRE,Ireland,1921-12-06,2017-12-31
210,NTH,Netherlands,1816-01-01,2017-12-31
211,BEL,Belgium,1830-10-04,2017-12-31
212,LUX,Luxembourg,1867-05-11,2017-12-31
220,FRN,France,1816-01-01,2017-12-31
225,SWZ,Switzerland,1816-01-01,2017-12-31
230,SPN,Spain,1816-01-01,2017-12-31
235,POR,Portugal,1816-01-01,2017-12-31
260,GFR,German Federal Republic,1949-09-21,2017-12-31
265,GDR,German Democratic Republic,1949-10-05,1990-10-02
290,POL,Poland,1918-11-11,2017-12-31
305,AUS,Austria,1918-11-14,2017-12-31
310,HUN,Hungary,1918-11-03,2017-12-31
315,CZE,Czechoslovakia,1918-11-11,1992-12-31
316,CZR,Czech Republic,1993-01-01,2017-12-31
317,SLO,Slovakia,1993-01-01,2017-12-31
325,ITA,Italy/Sardinia,1816-01-01,2017-12-31
338,MLT,Malta,1964-09-21,2017-12-31
339,ALB,Albania,1913-01-01,2017-12-31
341,MNG,Montenegro,2006-06-03,2017-12-31
343,MAC,Macedonia (Former Yugoslav Republic of),1991-11-20,2017-12-31
344,CRO,Croatia,1992-04-27,2017-12-31
340,SER,Serbia,2006-06-05,2017-12-31
345,YUG,Yugoslavia,1918-12-01,2006-06-04
346,BOS,Bosnia-Herzegovina,1992-04-27,2017-12-31
347,KOS,Kosovo,2008-02-17,2017-12-31
349,SLV,Slovenia,1992-04-27,2017-12-31
350,GRC,Greece,1828-04-25,2017-12-31
352,CYP,Cyprus,1960-08-16,2017-12-31
355,BUL,Bulgaria,1878-03-03,2017-12-31
359,MLD,Moldova,1991-08-27,2017-12-31
360,RUM,Rumania,1878-07-13,2017-12-31
365,RUS,Russia (Soviet Union),1816-01-01,2017-12-31
366,EST,Estonia,1991-09-06,2017-12-31
367,LAT,Latvia,1991-09-06,2017-12-31
368,LIT,Lithuania,1991-09-06,2017-12-31
369,UKR,Ukraine,1991-12-01,2017-12-31
370,BLR,Belarus (Byelorussia),1991-08-25,2017-12-31
371,ARM,Armenia,1991-12-21,2017-12-31
372,GRG,Georgia,1991-12-21,2017-12-31
373,AZE,Azerbaijan,1991-12-21,2017-12-31
