conflict_id,cumulative_intensity,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,incompatibility,intensity_level,location,region,side_a,side_a_2nd,side_a_id,side_b,side_b_2nd,side_b_id,start_date,start_date2,start_prec,start_prec2,territory_name,type_of_conflict,version,year
200,1,1,1946-07-21,,145,,,,145,2,2,Bolivia,5,Government of Bolivia,,23,Popular Revolutionary Movement,,719,1946-07-18,1946-07-21,1,2,,3,19.1,1946
200,1,1,1952-04-12,,145,,,,145,2,1,Bolivia,5,Government of Bolivia,,23,MNR,,720,1946-07-18,1952-04-09,1,1,,3,19.1,1952
200,1,1,1967-10-16,,145,,,,145,2,1,Bolivia,5,Government of Bolivia,,23,ELN,,721,1946-07-18,1967-03-31,1,3,,3,19.1,1967
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1946
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1947
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1948
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1949
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1950
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1951
201,0,0,,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1952
201,0,1,1953-11-09,,220,,,,811,1,1,Cambodia (Kampuchea),3,Government of France,,33,Khmer Issarak,,160,1946-08-31,1946-08-31,3,3,Cambodia,1,19.1,1953
202,1,0,,,710,,,,710,2,2,China,3,Government of China,,135,PLA,,161,1946-12-31,1946-12-31,7,7,,3,19.1,1946
202,1,0,,,710,,,,710,2,2,China,3,Government of China,,135,PLA,,161,1946-12-31,1946-12-31,7,7,,3,19.1,1947
202,1,0,,,710,,,,710,2,2,China,3,Government of China,,135,PLA,,161,1946-12-31,1946-12-31,7,7,,3,19.1,1948
202,1,1,1949-12-08,,710,,,,710,2,2,China,3,Government of China,,135,PLA,,161,1946-12-31,1946-12-31,7,7,,3,19.1,1949
203,1,0,,,350,,,,350,2,2,Greece,1,Government of Greece,,52,DSE,,162,1946-03-31,1946-03-31,4,4,,3,19.1,1946
203,1,0,,,350,,,,350,2,2,Greece,1,Government of Greece,,52,DSE,,162,1946-03-31,1946-03-31,4,4,,3,19.1,1947
203,1,0,,,350,,,,350,2,2,Greece,1,Government of Greece,,52,DSE,,162,1946-03-31,1946-03-31,4,4,,3,19.1,1948
203,1,1,1949-10-16,,350,,,,350,2,2,Greece,1,Government of Greece,,52,DSE,,162,1946-03-31,1946-03-31,4,4,,3,19.1,1949
204,0,0,,,210,,,,850,1,1,Indonesia,3,Government of Netherlands,,30,Indonesian People's Army,,163,1945-10-13,1946-12-31,2,5,Indonesia,1,19.1,1946
204,0,0,,,210,,,,850,1,1,Indonesia,3,Government of Netherlands,,30,Indonesian People's Army,,163,1945-10-13,1946-12-31,2,5,Indonesia,1,19.1,1947
204,0,0,,,210,,,,850,1,1,Indonesia,3,Government of Netherlands,,30,Indonesian People's Army,,163,1945-10-13,1946-12-31,2,5,Indonesia,1,19.1,1948
204,0,1,1949-08-15,,210,,,,850,1,1,Indonesia,3,Government of Netherlands,,30,Indonesian People's Army,,163,1945-10-13,1946-12-31,2,5,Indonesia,1,19.1,1949
205,0,1,1946-12-16,,630,,,365,630,1,1,Iran,2,Government of Iran,,114,KDPI,Government of Russia (Soviet Union),164,1946-05-31,1946-05-31,3,3,Kurdistan,4,19.1,1946
205,1,0,,,630,,,,630,1,1,Iran,2,Government of Iran,,114,KDPI,,164,1946-05-31,1966-12-31,3,5,Kurdistan,3,19.1,1966
205,1,0,,,630,,,,630,1,1,Iran,2,Government of Iran,,114,KDPI,,164,1946-05-31,1966-12-31,3,5,Kurdistan,3,19.1,1967
