new_id,old_id,name
1,9999,Civilians
2,751,Government of Hyderabad
3,2,Government of United States of America
4,20,Government of Canada
5,40,Government of Cuba
6,41,Government of Haiti
7,42,Government of Dominican Republic
8,52,Government of Trinidad and Tobago
9,55,Government of Grenada
10,70,Government of Mexico
11,90,Government of Guatemala
12,91,Government of Honduras
13,92,Government of El Salvador
14,93,Government of Nicaragua
15,94,Government of Costa Rica
16,95,Government of Panama
17,100,Government of Colombia
18,101,Government of Venezuela
19,115,Government of Suriname
20,130,Government of Ecuador
21,135,Government of Peru
22,140,Government of Brazil
23,145,Government of Bolivia
24,150,Government of Paraguay
25,155,Government of Chile
26,160,Government of Argentina
27,165,Government of Uruguay
28,200,Government of United Kingdom
29,205,Government of Ireland
30,210,Government of Netherlands
31,211,Government of Belgium
32,212,Government of Luxembourg
33,220,Government of France
34,225,Government of Switzerland
35,230,Government of Spain
36,235,Government of Portugal
37,260,Government of Germany
38,290,Government of Poland
39,305,Government of Austria
40,310,Government of Hungary
41,315,Government of Czechoslovakia
42,316,Government of Czech Republic
43,317,Government of Slovakia
44,325,Government of Italy
45,339,Government of Albania
46,341,Government of Montenegro
47,343,"Government of Macedonia, FYR"
48,344,Government of Croatia
49,345,Government of Serbia (Yugoslavia)
50,346,Government of Bosnia-Herzegovina
51,349,Government of Slovenia
52,350,Government of Greece
53,352,Government of Cyprus
54,355,Government of Bulgaria
55,359,Government of Moldova
56,360,Government of Rumania
57,365,Government of Russia (Soviet Union)
58,366,Government of Estonia
59,367,Government of Latvia
60,368,Government of Lithuania
61,369,Government of Ukraine
62,371,Government of Armenia
63,372,Government of Georgia
64,373,Government of Azerbaijan
65,375,Government of Finland
66,380,Government of Sweden
67,385,Government of Norway
68,390,Government of Denmark
69,395,Government of Iceland
70,404,Government of Guinea-Bissau
71,420,Government of Gambia
72,432,Government of Mali
73,433,Government of Senegal
74,435,Government of Mauritania
75,436,Government of Niger
76,437,Government of Ivory Coast
77,438,Government of Guinea
78,439,Government of Burkina Faso
79,450,Government of Liberia
80,451,Government of Sierra Leone
81,452,Government of Ghana
82,461,Government of Togo
83,471,Government of Cameroon
84,475,Government of Nigeria
85,481,Government of Gabon
86,482,Government of Central African Republic
87,483,Government of Chad
