conflict_id,type_of_conflict,start_date,start_prec,end_date,incompatibility_isTerritory,incompatibility_isGovernment,territory_name
200,Internal,1946-07-18,1,1967-10-16,0,1,
201,Extrasystemic,1946-08-31,3,1953-11-09,1,0,Cambodia
202,Internal,1946-12-31,7,1949-12-08,0,1,
203,Internal,1946-03-31,4,1949-10-16,0,1,
204,Extrasystemic,1945-10-13,2,1949-08-15,1,0,Indonesia
205,Internal,1946-05-31,3,,1,0,Kurdistan
206,Internal,1945-11-19,1,1946-12-16,1,0,Azerbaijan
207,Extrasystemic,1939-03-31,4,1946-12-31,1,0,Israel
208,Extrasystemic,1946-03-31,4,1953-12-31,1,0,Laos
209,Internal,1946-07-31,4,,0,1,
210,Internal,1944-12-31,6,1948-12-31,1,0,Estonia
211,Internal,1945-12-31,6,1946-12-31,1,0,Latvia
212,Internal,1946-06-30,4,1948-12-31,1,0,Lithuania
213,Internal,1941-12-31,5,1950-12-31,1,0,Ukraine
214,Interstate,1946-05-07,1,1946-11-17,1,0,Northern Cambodia
215,Interstate,1946-10-22,1,1946-12-31,1,0,Korfu Channel
216,Extrasystemic,1946-11-20,1,1954-07-20,1,0,Vietnam
217,Internal,1947-02-28,1,1947-03-24,1,0,Taiwan
218,Interstate,1948-12-31,5,,1,0,Kashmir
219,Extrasystemic,1947-03-29,1,1947-12-31,1,0,Malagasy
220,Internal,1947-03-07,2,1989-02-03,0,1,
221,Internal,1948-12-31,3,2013-04-29,1,0,Karen
222,Internal,1948-02-29,4,,0,1,
223,Internal,1948-01-31,4,,1,0,Arakan
224,Internal,1948-12-31,3,1996-12-23,1,0,Mon
225,Internal,1948-03-03,2,1948-04-20,0,1,
226,Interstate,1948-09-13,2,1948-09-18,1,0,Hyderabad
227,Internal,1948-05-01,1,,0,1,
228,Interstate,1948-04-15,1,1949-01-07,1,0,Palestine
229,Extrasystemic,1948-06-19,1,1957-08-31,1,0,Malaya
230,Internal,1948-03-15,4,,0,1,
231,Internal,1949-12-31,6,,1,0,Kachin
232,Interstate,1949-10-31,3,1958-12-31,1,1,Taiwan strait
233,Internal,1949-07-18,1,1995-12-31,0,1,
234,Internal,1948-05-15,1,,1,0,Palestine
235,Interstate,1949-05-31,3,1953-07-27,1,0,Korea
236,Internal,1950-10-07,1,1959-04-23,1,0,Tibet
237,Internal,1950-08-05,1,1950-11-15,1,0,South Moluccas
238,Extrasystemic,1950-10-30,1,1950-11-01,1,0,Puerto Rico
239,Interstate,1951-10-18,1,1952-12-31,1,0,Suez
240,Internal,1951-06-30,1,1982-12-31,0,1,
241,Extrasystemic,1952-10-22,2,1956-12-31,1,0,Kenya
242,Internal,1953-07-26,1,1961-04-20,0,1,
243,Internal,1953-12-31,5,1961-12-31,0,1,
244,Extrasystemic,1953-11-07,1,1956-03-02,1,0,Morocco
245,Extrasystemic,1953-04-30,3,1956-03-20,1,0,Tunisia
246,Extrasystemic,1954-11-01,1,1962-03-19,1,0,Algeria
247,Internal,1955-06-16,1,1977-12-31,0,1,
248,Extrasystemic,1955-06-02,1,1959-02-19,1,0,Cyprus
249,Internal,1955-04-30,3,1964-12-31,1,0,South Vietnam
250,Interstate,1956-10-23,1,1956-11-14,0,1,
251,Internal,1955-07-20,2,2000-09-13,1,0,Nagaland
252,Interstate,1956-10-31,1,1956-11-06,1,0,Suez
253,Internal,1957-12-31,6,2005-01-25,1,0,Karenni
254,Extrasystemic,1957-09-30,3,1959-12-31,1,0,Cameroon
255,Interstate,1957-05-01,1,1957-05-07,1,0,Common Border
256,Extrasystemic,1957-01-12,2,1958-06-30,1,0,Morocco/Mauritania
257,Extrasystemic,1957-11-23,2,1958-06-30,1,0,Morocco/Spanish territories
258,Internal,1957-07-31,3,1957-08-26,1,0,Oman
259,Internal,1958-07-14,1,,0,1,
260,Internal,1958-05-15,2,1990-10-13,0,1,
264,Internal,1959-11-22,1,2015-11-30,1,0,Shan
261,Internal,1957-12-31,5,1981-12-31,0,1,
