conflict_id,gw_id
200,145
201,811
202,710
203,350
204,850
205,630
206,630
207,666
208,812
209,840
210,365
211,365
212,365
213,365
214,220
214,800
215,200
215,339
216,816
217,710
218,750
218,770
219,580
220,150
221,775
222,775
223,775
224,775
225,94
226,750
226,751
227,750
228,645
228,651
228,652
228,660
228,663
228,666
229,820
230,678
231,775
232,710
232,713
233,90
234,666
235,731
235,732
236,710
237,850
238,2
239,200
239,651
240,800
241,501
242,40
243,850
244,600
245,616
246,615
247,160
248,352
249,817
250,310
250,365
251,750
252,200
252,220
252,651
252,666
253,775
254,471
255,91
255,93
256,435
256,600
257,435
257,600
258,698
259,645
260,660
261,820
262,812
263,540
264,775
265,490
266,490
267,530
268,520
268,530
269,790
270,220
271,645
272,220
272,616
273,835
274,710
274,750
275,530
276,210
276,850
277,101
278,600
278,615
279,404
280,820
281,820
281,850
282,625
283,490
284,481
285,541
286,680
287,516
288,483
289,100
290,42
291,850
292,135
293,816
293,817
294,800
294,811
295,452
296,750
297,475
298,560
299,652
300,811
301,663
301,666
302,652
302,666
303,475
304,710
304,775
305,365
305,710
306,91
306,92
307,438
308,840
309,625
310,580
311,600
312,770
313,780
314,500
315,200
316,92
317,698
318,552
319,165
320,678
320,680
321,155
322,771
323,352
323,640
324,630
324,645
325,770
326,531
327,540
328,811
328,816
329,530
330,850
331,600
332,541
333,700
334,710
334,816
335,750
336,93
337,520
338,630
339,630
340,670
341,450
342,230
343,616
344,420
345,560
346,160
346,200
347,750
348,501
349,475
349,483
350,2
350,55
351,750
352,780
353,471
354,640
355,432
355,439
356,800
356,812
357,115
358,461
359,680
360,439
361,483
361,620
362,581
363,530
364,750
365,750
366,850
367,95
368,2
368,95
369,910
370,360
371,645
371,690
372,432
373,436
374,517
375,433
376,365
377,365
378,52
379,522
380,372
381,41
382,451
383,640
384,345
385,345
386,615
387,540
388,373
389,346
390,344
391,651
392,372
393,372
394,359
395,702
396,373
397,346
398,346
399,365
400,70
401,365
402,678
403,130
403,135
404,770
405,471
405,475
406,436
407,581
408,484
409,530
409,531
410,404
411,570
412,345
413,530
414,365
415,704
416,482
417,343
418,2
419,437
420,2
420,200
420,645
420,900
421,750
422,775
423,800
424,475
425,475
426,666
427,500
427,510
428,435
429,490
430,436
431,365
431,700
432,365
434,750
435,522
435,531
436,530
437,530
439,775
440,775
442,435
11342,750
11343,651
11343,666
11344,625
11345,626
11346,620
11347,432
11348,625
11348,626
11349,710
11350,771
11447,530
11475,775
11487,820
11884,751
13042,652
13219,369
13246,369
13247,369
13306,369
13588,365
13604,652
13611,432
13637,700
13638,471
13639,436
13640,483
13641,475
13645,678
13646,501
13648,651
13653,750
13674,771
13675,660
13692,2
13692,200
13692,700
13694,620
13721,615
13809,652
13886,663
13902,640
13936,770
14074,520
14113,432
14129,471
14268,630
14275,840
14333,616
14609,630
14609,666
