obs_id,conflict_id,year,episode,ep_id,ep_end,intensity_level,cumulative_intensity,isInternational
200-1946,200,1946,1,200-1,1,War,War,0
200-1952,200,1952,2,200-2,1,Minor,War,0
200-1967,200,1967,3,200-3,1,Minor,War,0
201-1946,201,1946,1,201-1,0,Minor,Minor,
201-1947,201,1947,1,201-1,0,Minor,Minor,
201-1948,201,1948,1,201-1,0,Minor,Minor,
201-1949,201,1949,1,201-1,0,Minor,Minor,
201-1950,201,1950,1,201-1,0,Minor,Minor,
201-1951,201,1951,1,201-1,0,Minor,Minor,
201-1952,201,1952,1,201-1,0,Minor,Minor,
201-1953,201,1953,1,201-1,1,Minor,Minor,
202-1946,202,1946,1,202-1,0,War,War,0
202-1947,202,1947,1,202-1,0,War,War,0
202-1948,202,1948,1,202-1,0,War,War,0
202-1949,202,1949,1,202-1,1,War,War,0
203-1946,203,1946,1,203-1,0,War,War,0
203-1947,203,1947,1,203-1,0,War,War,0
203-1948,203,1948,1,203-1,0,War,War,0
203-1949,203,1949,1,203-1,1,War,War,0
204-1946,204,1946,1,204-1,0,Minor,Minor,
204-1947,204,1947,1,204-1,0,Minor,Minor,
204-1948,204,1948,1,204-1,0,Minor,Minor,
204-1949,204,1949,1,204-1,1,Minor,Minor,
205-1946,205,1946,1,205-1,1,Minor,Minor,1
205-1966,205,1966,2,205-2,0,Minor,War,0
205-1967,205,1967,2,205-2,0,Minor,War,0
205-1968,205,1968,2,205-2,1,Minor,War,0
205-1979,205,1979,3,205-3,0,War,War,0
205-1980,205,1980,3,205-3,0,War,War,0
205-1981,205,1981,3,205-3,0,Minor,War,0
205-1982,205,1982,3,205-3,0,War,War,0
205-1983,205,1983,3,205-3,0,Minor,War,0
205-1984,205,1984,3,205-3,0,Minor,War,0
205-1985,205,1985,3,205-3,0,Minor,War,0
205-1986,205,1986,3,205-3,0,Minor,War,0
205-1987,205,1987,3,205-3,0,Minor,War,0
205-1988,205,1988,3,205-3,1,Minor,War,0
205-1990,205,1990,4,205-4,1,Minor,War,0
205-1993,205,1993,5,205-5,1,Minor,War,0
205-1996,205,1996,6,205-6,1,Minor,War,0
205-2016,205,2016,7,205-7,1,Minor,War,0
205-2018,205,2018,8,205-8,0,Minor,War,0
206-1946,206,1946,1,206-1,1,Minor,Minor,1
207-1946,207,1946,1,207-1,1,Minor,Minor,
208-1946,208,1946,1,208-1,0,Minor,Minor,
208-1947,208,1947,1,208-1,0,Minor,Minor,
208-1948,208,1948,1,208-1,0,Minor,Minor,
208-1949,208,1949,1,208-1,0,Minor,Minor,
208-1950,208,1950,1,208-1,0,Minor,War,
208-1951,208,1951,1,208-1,0,Minor,War,
208-1952,208,1952,1,208-1,0,Minor,War,
208-1953,208,1953,1,208-1,1,Minor,War,
209-1946,209,1946,1,209-1,0,War,War,0
209-1947,209,1947,1,209-1,0,War,War,0
209-1948,209,1948,1,209-1,0,War,War,0
209-1949,209,1949,1,209-1,0,War,War,0
209-1950,209,1950,1,209-1,0,War,War,0
209-1951,209,1951,1,209-1,0,War,War,0
209-1952,209,1952,1,209-1,0,War,War,0
209-1953,209,1953,1,209-1,0,War,War,0
209-1954,209,1954,1,209-1,1,War,War,0
209-1969,209,1969,2,209-2,0,Minor,War,0
209-1970,209,1970,2,209-2,0,Minor,War,0
209-1971,209,1971,2,209-2,0,Minor,War,0
209-1972,209,1972,2,209-2,0,Minor,War,0
209-1973,209,1973,2,209-2,0,Minor,War,0
209-1974,209,1974,2,209-2,0,Minor,War,0
209-1975,209,1975,2,209-2,0,Minor,War,0
209-1976,209,1976,2,209-2,0,Minor,War,0
209-1977,209,1977,2,209-2,0,Minor,War,0
209-1978,209,1978,2,209-2,0,Minor,War,0
209-1979,209,1979,2,209-2,0,Minor,War,0
209-1980,209,1980,2,209-2,0,Minor,War,0
209-1981,209,1981,2,209-2,0,Minor,War,0
209-1982,209,1982,2,209-2,0,War,War,0
209-1983,209,1983,2,209-2,0,War,War,0
209-1984,209,1984,2,209-2,0,War,War,0
209-1985,209,1985,2,209-2,0,War,War,0
209-1986,209,1986,2,209-2,0,War,War,0
209-1987,209,1987,2,209-2,0,War,War,0
209-1988,209,1988,2,209-2,0,Minor,War,0
209-1989,209,1989,2,209-2,0,Minor,War,0
209-1990,209,1990,2,209-2,0,War,War,0
209-1991,209,1991,2,209-2,0,War,War,0
209-1992,209,1992,2,209-2,0,Minor,War,0
209-1993,209,1993,2,209-2,0,Minor,War,0
209-1994,209,1994,2,209-2,0,Minor,War,0
209-1995,209,1995,2,209-2,1,Minor,War,0
209-1997,209,1997,3,209-3,1,Minor,War,0
209-1999,209,1999,4,209-4,0,Minor,War,0
209-2000,209,2000,4,209-4,0,Minor,War,0
209-2001,209,2001,4,209-4,0,Minor,War,0
209-2002,209,2002,4,209-4,0,Minor,War,0
209-2003,209,2003,4,209-4,0,Minor,War,0
209-2004,209,2004,4,209-4,0,Minor,War,0
209-2005,209,2005,4,209-4,0,Minor,War,0
209-2006,209,2006,4,209-4,0,Minor,War,0
209-2007,209,2007,4,209-4,0,Minor,War,0
209-2008,209,2008,4,209-4,0,Minor,War,0
209-2009,209,2009,4,209-4,0,Minor,War,0
209-2010,209,2010,4,209-4,0,Minor,War,0
209-2011,209,2011,4,209-4,0,Minor,War,0
209-2012,209,2012,4,209-4,0,Minor,War,0
209-2013,209,2013,4,209-4,0,Minor,War,0
209-2014,209,2014,4,209-4,0,Minor,War,0
209-2015,209,2015,4,209-4,0,Minor,War,0
209-2016,209,2016,4,209-4,0,Minor,War,0
209-2017,209,2017,4,209-4,0,Minor,War,0
209-2018,209,2018,4,209-4,0,Minor,War,0
210-1946,210,1946,1,210-1,0,Minor,Minor,0
210-1947,210,1947,1,210-1,0,Minor,War,0
210-1948,210,1948,1,210-1,1,Minor,War,0
211-1946,211,1946,1,211-1,1,Minor,Minor,0
212-1946,212,1946,1,212-1,0,War,War,0
212-1947,212,1947,1,212-1,0,War,War,0
212-1948,212,1948,1,212-1,1,Minor,War,0
213-1946,213,1946,1,213-1,0,War,War,0
213-1947,213,1947,1,213-1,0,War,War,0
213-1948,213,1948,1,213-1,0,War,War,0
213-1949,213,1949,1,213-1,0,Minor,War,0
213-1950,213,1950,1,213-1,1,Minor,War,0
214-1946,214,1946,1,214-1,1,Minor,Minor,
