conflict_id,incompatibility_region
200,Americas
201,Asia
202,Asia
203,Europe
204,Asia
205,Middle East
206,Middle East
207,Middle East
208,Asia
209,Asia
210,Europe
211,Europe
212,Europe
213,Europe
214,Europe
214,Asia
215,Europe
216,Asia
217,Asia
218,Asia
219,Africa
220,Americas
221,Asia
222,Asia
223,Asia
224,Asia
225,Americas
226,Asia
227,Asia
228,Middle East
229,Asia
230,Middle East
231,Asia
232,Asia
233,Americas
234,Middle East
235,Asia
236,Asia
237,Asia
238,Americas
239,Europe
239,Middle East
240,Asia
241,Africa
242,Americas
243,Asia
244,Africa
245,Africa
246,Africa
247,Americas
248,Europe
249,Asia
250,Europe
251,Asia
252,Europe
252,Middle East
253,Asia
254,Africa
255,Americas
256,Africa
257,Africa
258,Middle East
259,Middle East
260,Middle East
261,Asia
262,Asia
263,Africa
264,Asia
265,Africa
266,Africa
267,Africa
268,Africa
269,Asia
270,Europe
271,Middle East
272,Europe
272,Africa
273,Asia
274,Asia
275,Africa
276,Europe
276,Asia
277,Americas
278,Africa
279,Africa
280,Asia
281,Asia
282,Africa
283,Africa
284,Africa
285,Africa
286,Middle East
287,Africa
288,Africa
289,Americas
290,Americas
291,Asia
292,Americas
293,Asia
294,Asia
295,Africa
296,Asia
297,Africa
298,Africa
299,Middle East
300,Asia
301,Middle East
302,Middle East
303,Africa
304,Asia
305,Europe
305,Asia
306,Americas
307,Africa
308,Asia
309,Africa
310,Africa
311,Africa
312,Asia
313,Asia
314,Africa
315,Europe
316,Americas
317,Middle East
318,Africa
319,Americas
320,Middle East
321,Americas
322,Asia
323,Europe
323,Middle East
324,Middle East
325,Asia
326,Africa
327,Africa
328,Asia
329,Africa
330,Asia
331,Africa
332,Africa
333,Asia
334,Asia
335,Asia
336,Americas
337,Africa
338,Middle East
339,Middle East
340,Middle East
341,Africa
342,Europe
343,Africa
344,Africa
345,Africa
346,Europe
346,Americas
347,Asia
348,Africa
349,Africa
350,Americas
351,Asia
352,Asia
353,Africa
354,Middle East
355,Africa
356,Asia
357,Americas
358,Africa
359,Middle East
360,Africa
361,Africa
362,Africa
363,Africa
364,Asia
365,Asia
366,Asia
367,Americas
368,Americas
369,Asia
370,Europe
371,Middle East
372,Africa
373,Africa
374,Africa
375,Africa
376,Europe
377,Europe
378,Americas
379,Africa
380,Europe
381,Americas
382,Africa
383,Middle East
384,Europe
385,Europe
386,Africa
387,Africa
388,Europe
389,Europe
390,Europe
391,Middle East
392,Europe
393,Europe
394,Europe
395,Asia
396,Europe
397,Europe
398,Europe
399,Europe
400,Americas
401,Europe
402,Middle East
403,Americas
404,Asia
405,Africa
406,Africa
407,Africa
408,Africa
409,Africa
410,Africa
411,Africa
412,Europe
413,Africa
414,Europe
415,Asia
416,Africa
417,Europe
418,Americas
419,Africa
420,Europe
420,Middle East
420,Asia
420,Americas
421,Asia
422,Asia
423,Asia
424,Africa
425,Africa
426,Middle East
427,Africa
428,Africa
429,Africa
430,Africa
431,Europe
431,Asia
432,Europe
434,Asia
435,Africa
436,Africa
437,Africa
439,Asia
440,Asia
442,Africa
11342,Asia
11343,Middle East
11344,Africa
11345,Africa
11346,Africa
11347,Africa
11348,Africa
11349,Asia
11350,Asia
11447,Africa
11475,Asia
11487,Asia
11884,Asia
13042,Middle East
13219,Europe
13246,Europe
13247,Europe
13306,Europe
13588,Europe
13604,Middle East
13611,Africa
13637,Asia
13638,Africa
13639,Africa
13640,Africa
13641,Africa
13645,Middle East
13646,Africa
13648,Middle East
13653,Asia
13674,Asia
13675,Middle East
13692,Europe
13692,Asia
13692,Americas
13694,Africa
13721,Africa
13809,Middle East
13886,Middle East
13902,Middle East
13936,Asia
14074,Africa
14113,Africa
14129,Africa
14268,Middle East
14275,Asia
14333,Africa
14609,Middle East
