obs_id,gw_id,side,role,conflict_id,year
200-1946,145,A,primary,200,1946
200-1952,145,A,primary,200,1952
200-1967,145,A,primary,200,1967
201-1946,220,A,primary,201,1946
201-1947,220,A,primary,201,1947
201-1948,220,A,primary,201,1948
201-1949,220,A,primary,201,1949
201-1950,220,A,primary,201,1950
201-1951,220,A,primary,201,1951
201-1952,220,A,primary,201,1952
201-1953,220,A,primary,201,1953
202-1946,710,A,primary,202,1946
202-1947,710,A,primary,202,1947
202-1948,710,A,primary,202,1948
202-1949,710,A,primary,202,1949
203-1946,350,A,primary,203,1946
203-1947,350,A,primary,203,1947
203-1948,350,A,primary,203,1948
203-1949,350,A,primary,203,1949
204-1946,210,A,primary,204,1946
204-1947,210,A,primary,204,1947
204-1948,210,A,primary,204,1948
204-1949,210,A,primary,204,1949
205-1946,630,A,primary,205,1946
205-1946,365,B,secondary,205,1946
205-1966,630,A,primary,205,1966
205-1967,630,A,primary,205,1967
205-1968,630,A,primary,205,1968
205-1979,630,A,primary,205,1979
205-1980,630,A,primary,205,1980
205-1981,630,A,primary,205,1981
205-1982,630,A,primary,205,1982
205-1983,630,A,primary,205,1983
205-1984,630,A,primary,205,1984
205-1985,630,A,primary,205,1985
205-1986,630,A,primary,205,1986
205-1987,630,A,primary,205,1987
205-1988,630,A,primary,205,1988
205-1990,630,A,primary,205,1990
205-1993,630,A,primary,205,1993
205-1996,630,A,primary,205,1996
205-2016,630,A,primary,205,2016
205-2018,630,A,primary,205,2018
206-1946,630,A,primary,206,1946
206-1946,365,B,secondary,206,1946
207-1946,200,A,primary,207,1946
208-1946,220,A,primary,208,1946
208-1947,220,A,primary,208,1947
208-1948,220,A,primary,208,1948
208-1949,220,A,primary,208,1949
208-1950,220,A,primary,208,1950
208-1951,220,A,primary,208,1951
208-1952,220,A,primary,208,1952
208-1953,220,A,primary,208,1953
209-1946,840,A,primary,209,1946
209-1947,840,A,primary,209,1947
209-1948,840,A,primary,209,1948
209-1949,840,A,primary,209,1949
209-1950,840,A,primary,209,1950
209-1951,840,A,primary,209,1951
209-1952,840,A,primary,209,1952
209-1953,840,A,primary,209,1953
209-1954,840,A,primary,209,1954
209-1969,840,A,primary,209,1969
209-1970,840,A,primary,209,1970
209-1971,840,A,primary,209,1971
209-1972,840,A,primary,209,1972
209-1973,840,A,primary,209,1973
209-1974,840,A,primary,209,1974
209-1975,840,A,primary,209,1975
209-1976,840,A,primary,209,1976
209-1977,840,A,primary,209,1977
209-1978,840,A,primary,209,1978
209-1979,840,A,primary,209,1979
209-1980,840,A,primary,209,1980
209-1981,840,A,primary,209,1981
209-1982,840,A,primary,209,1982
209-1983,840,A,primary,209,1983
209-1984,840,A,primary,209,1984
209-1985,840,A,primary,209,1985
209-1986,840,A,primary,209,1986
209-1987,840,A,primary,209,1987
209-1988,840,A,primary,209,1988
209-1989,840,A,primary,209,1989
209-1990,840,A,primary,209,1990
209-1991,840,A,primary,209,1991
209-1992,840,A,primary,209,1992
209-1993,840,A,primary,209,1993
209-1994,840,A,primary,209,1994
209-1995,840,A,primary,209,1995
209-1997,840,A,primary,209,1997
209-1999,840,A,primary,209,1999
209-2000,840,A,primary,209,2000
209-2001,840,A,primary,209,2001
209-2002,840,A,primary,209,2002
209-2003,840,A,primary,209,2003
209-2004,840,A,primary,209,2004
209-2005,840,A,primary,209,2005
209-2006,840,A,primary,209,2006
209-2007,840,A,primary,209,2007
209-2008,840,A,primary,209,2008
209-2009,840,A,primary,209,2009
209-2010,840,A,primary,209,2010
209-2011,840,A,primary,209,2011
209-2012,840,A,primary,209,2012
209-2013,840,A,primary,209,2013
209-2014,840,A,primary,209,2014
209-2015,840,A,primary,209,2015
209-2016,840,A,primary,209,2016
209-2017,840,A,primary,209,2017
209-2018,840,A,primary,209,2018
210-1946,365,A,primary,210,1946
210-1947,365,A,primary,210,1947
210-1948,365,A,primary,210,1948
211-1946,365,A,primary,211,1946
212-1946,365,A,primary,212,1946
212-1947,365,A,primary,212,1947
212-1948,365,A,primary,212,1948
213-1946,365,A,primary,213,1946
213-1947,365,A,primary,213,1947
213-1948,365,A,primary,213,1948
213-1949,365,A,primary,213,1949
213-1950,365,A,primary,213,1950
214-1946,220,A,primary,214,1946
214-1946,800,B,primary,214,1946
215-1946,339,A,primary,215,1946
215-1946,200,B,primary,215,1946
216-1946,220,A,primary,216,1946
216-1947,220,A,primary,216,1947
216-1948,220,A,primary,216,1948
216-1949,220,A,primary,216,1949
216-1950,220,A,primary,216,1950
216-1951,220,A,primary,216,1951
216-1952,220,A,primary,216,1952
216-1953,220,A,primary,216,1953
216-1954,220,A,primary,216,1954
217-1947,710,A,primary,217,1947
218-1948,750,A,primary,218,1948
218-1948,770,B,primary,218,1948
218-1964,750,A,primary,218,1964
218-1964,770,B,primary,218,1964
218-1965,750,A,primary,218,1965
218-1965,770,B,primary,218,1965
218-1971,750,A,primary,218,1971
218-1971,770,B,primary,218,1971
218-1984,750,A,primary,218,1984
218-1984,770,B,primary,218,1984
218-1987,750,A,primary,218,1987
218-1987,770,B,primary,218,1987
218-1989,750,A,primary,218,1989
218-1989,770,B,primary,218,1989
218-1990,750,A,primary,218,1990
218-1990,770,B,primary,218,1990
218-1991,750,A,primary,218,1991
218-1991,770,B,primary,218,1991
218-1992,750,A,primary,218,1992
218-1992,770,B,primary,218,1992
218-1996,750,A,primary,218,1996
218-1996,770,B,primary,218,1996
218-1997,750,A,primary,218,1997
218-1997,770,B,primary,218,1997
218-1998,750,A,primary,218,1998
