obs_id,ucdp_id,side,role,conflict_id,year
200-1946,23,A,primary,200,1946
200-1946,719,B,primary,200,1946
200-1952,23,A,primary,200,1952
200-1952,720,B,primary,200,1952
200-1967,23,A,primary,200,1967
200-1967,721,B,primary,200,1967
201-1946,33,A,primary,201,1946
201-1946,160,B,primary,201,1946
201-1947,33,A,primary,201,1947
201-1947,160,B,primary,201,1947
201-1948,33,A,primary,201,1948
201-1948,160,B,primary,201,1948
201-1949,33,A,primary,201,1949
201-1949,160,B,primary,201,1949
201-1950,33,A,primary,201,1950
201-1950,160,B,primary,201,1950
201-1951,33,A,primary,201,1951
201-1951,160,B,primary,201,1951
201-1952,33,A,primary,201,1952
201-1952,160,B,primary,201,1952
201-1953,33,A,primary,201,1953
201-1953,160,B,primary,201,1953
202-1946,135,A,primary,202,1946
202-1946,161,B,primary,202,1946
202-1947,135,A,primary,202,1947
202-1947,161,B,primary,202,1947
202-1948,135,A,primary,202,1948
202-1948,161,B,primary,202,1948
202-1949,135,A,primary,202,1949
202-1949,161,B,primary,202,1949
203-1946,52,A,primary,203,1946
203-1946,162,B,primary,203,1946
203-1947,52,A,primary,203,1947
203-1947,162,B,primary,203,1947
203-1948,52,A,primary,203,1948
203-1948,162,B,primary,203,1948
203-1949,52,A,primary,203,1949
203-1949,162,B,primary,203,1949
204-1946,30,A,primary,204,1946
204-1946,163,B,primary,204,1946
204-1947,30,A,primary,204,1947
204-1947,163,B,primary,204,1947
204-1948,30,A,primary,204,1948
204-1948,163,B,primary,204,1948
204-1949,30,A,primary,204,1949
204-1949,163,B,primary,204,1949
205-1946,114,A,primary,205,1946
205-1946,164,B,primary,205,1946
205-1966,114,A,primary,205,1966
205-1966,164,B,primary,205,1966
205-1967,114,A,primary,205,1967
205-1967,164,B,primary,205,1967
205-1968,114,A,primary,205,1968
205-1968,164,B,primary,205,1968
205-1979,114,A,primary,205,1979
205-1979,164,B,primary,205,1979
205-1980,114,A,primary,205,1980
205-1980,164,B,primary,205,1980
205-1981,114,A,primary,205,1981
205-1981,164,B,primary,205,1981
205-1982,114,A,primary,205,1982
205-1982,164,B,primary,205,1982
205-1983,114,A,primary,205,1983
205-1983,164,B,primary,205,1983
205-1984,114,A,primary,205,1984
205-1984,164,B,primary,205,1984
205-1985,114,A,primary,205,1985
205-1985,164,B,primary,205,1985
205-1986,114,A,primary,205,1986
205-1986,164,B,primary,205,1986
205-1987,114,A,primary,205,1987
205-1987,164,B,primary,205,1987
205-1988,114,A,primary,205,1988
205-1988,164,B,primary,205,1988
205-1990,114,A,primary,205,1990
205-1990,164,B,primary,205,1990
205-1993,114,A,primary,205,1993
205-1993,164,B,primary,205,1993
205-1996,114,A,primary,205,1996
205-1996,164,B,primary,205,1996
205-2016,114,A,primary,205,2016
205-2016,164,B,primary,205,2016
205-2018,114,A,primary,205,2018
205-2018,164,B,primary,205,2018
206-1946,114,A,primary,206,1946
206-1946,165,B,primary,206,1946
207-1946,28,A,primary,207,1946
207-1946,166,B,primary,207,1946
208-1946,33,A,primary,208,1946
208-1946,167,B,primary,208,1946
208-1947,33,A,primary,208,1947
208-1947,167,B,primary,208,1947
208-1948,33,A,primary,208,1948
208-1948,167,B,primary,208,1948
208-1949,33,A,primary,208,1949
208-1949,167,B,primary,208,1949
208-1950,33,A,primary,208,1950
208-1950,167,B,primary,208,1950
208-1951,33,A,primary,208,1951
208-1951,167,B,primary,208,1951
208-1952,33,A,primary,208,1952
208-1952,167,B,primary,208,1952
208-1953,33,A,primary,208,1953
208-1953,167,B,primary,208,1953
209-1946,154,A,primary,209,1946
209-1946,168,B,primary,209,1946
209-1947,154,A,primary,209,1947
209-1947,168,B,primary,209,1947
209-1948,154,A,primary,209,1948
209-1948,168,B,primary,209,1948
209-1949,154,A,primary,209,1949
209-1949,168,B,primary,209,1949
209-1950,154,A,primary,209,1950
209-1950,168,B,primary,209,1950
209-1951,154,A,primary,209,1951
209-1951,168,B,primary,209,1951
209-1952,154,A,primary,209,1952
209-1952,168,B,primary,209,1952
209-1953,154,A,primary,209,1953
209-1953,168,B,primary,209,1953
209-1954,154,A,primary,209,1954
209-1954,168,B,primary,209,1954
209-1969,154,A,primary,209,1969
209-1969,169,B,primary,209,1969
209-1970,154,A,primary,209,1970
209-1970,169,B,primary,209,1970
209-1971,154,A,primary,209,1971
209-1971,169,B,primary,209,1971
209-1972,154,A,primary,209,1972
209-1972,169,B,primary,209,1972
209-1973,154,A,primary,209,1973
209-1973,169,B,primary,209,1973
209-1974,154,A,primary,209,1974
209-1974,169,B,primary,209,1974
209-1975,154,A,primary,209,1975
209-1975,169,B,primary,209,1975
209-1976,154,A,primary,209,1976
209-1976,169,B,primary,209,1976
209-1977,154,A,primary,209,1977
209-1977,169,B,primary,209,1977
209-1978,154,A,primary,209,1978
209-1978,169,B,primary,209,1978
209-1979,154,A,primary,209,1979
209-1979,169,B,primary,209,1979
209-1980,154,A,primary,209,1980
209-1980,169,B,primary,209,1980
209-1981,154,A,primary,209,1981
209-1981,169,B,primary,209,1981
209-1982,154,A,primary,209,1982
209-1982,169,B,primary,209,1982
209-1983,154,A,primary,209,1983
209-1983,169,B,primary,209,1983
209-1984,154,A,primary,209,1984
209-1984,169,B,primary,209,1984
209-1985,154,A,primary,209,1985
209-1985,169,B,primary,209,1985
209-1986,154,A,primary,209,1986
209-1986,169,B,primary,209,1986
209-1987,154,A,primary,209,1987
209-1987,169,B,primary,209,1987
209-1987,170,B,primary,209,1987
209-1988,154,A,primary,209,1988
209-1988,169,B,primary,209,1988
209-1989,154,A,primary,209,1989
209-1989,169,B,primary,209,1989
209-1989,170,B,primary,209,1989
209-1990,154,A,primary,209,1990
209-1990,169,B,primary,209,1990
209-1990,170,B,primary,209,1990
209-1991,154,A,primary,209,1991
209-1991,169,B,primary,209,1991
209-1992,154,A,primary,209,1992
209-1992,169,B,primary,209,1992
209-1993,154,A,primary,209,1993
209-1993,169,B,primary,209,1993
209-1994,154,A,primary,209,1994
209-1994,169,B,primary,209,1994
209-1995,154,A,primary,209,1995
209-1995,169,B,primary,209,1995
209-1997,154,A,primary,209,1997
209-1997,169,B,primary,209,1997
209-1999,154,A,primary,209,1999
209-1999,169,B,primary,209,1999
209-2000,154,A,primary,209,2000
209-2000,169,B,primary,209,2000
209-2001,154,A,primary,209,2001
209-2001,169,B,primary,209,2001
209-2002,154,A,primary,209,2002
209-2002,169,B,primary,209,2002
209-2003,154,A,primary,209,2003
209-2003,169,B,primary,209,2003
209-2004,154,A,primary,209,2004
209-2004,169,B,primary,209,2004
209-2005,154,A,primary,209,2005
209-2005,169,B,primary,209,2005
209-2006,154,A,primary,209,2006
209-2006,169,B,primary,209,2006
209-2007,154,A,primary,209,2007
209-2007,169,B,primary,209,2007
209-2008,154,A,primary,209,2008
209-2008,169,B,primary,209,2008
209-2009,154,A,primary,209,2009
209-2009,169,B,primary,209,2009
209-2010,154,A,primary,209,2010
209-2010,169,B,primary,209,2010
209-2011,154,A,primary,209,2011
209-2011,169,B,primary,209,2011
209-2012,154,A,primary,209,2012
209-2012,169,B,primary,209,2012
209-2013,154,A,primary,209,2013
209-2013,169,B,primary,209,2013
209-2014,154,A,primary,209,2014
209-2014,169,B,primary,209,2014
209-2015,154,A,primary,209,2015
209-2015,169,B,primary,209,2015
209-2016,154,A,primary,209,2016
209-2016,169,B,primary,209,2016
209-2017,154,A,primary,209,2017
209-2017,169,B,primary,209,2017
209-2018,154,A,primary,209,2018
209-2018,169,B,primary,209,2018
210-1946,57,A,primary,210,1946
